id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,adjusted_price
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,1899.23,17688890920.0,11,17688890920,140560264,1945.73,1839.26,-44.07011136956862,-2.26779,-451573235.0024376,-2.48931,9343230.211656246,9343230.211656246,,4829.57,-60.8311,2021-11-10T14:40:47.256Z,482.9,291.73833,2020-12-22T04:08:21.854Z,,2025-03-12T21:20:23.417Z,1899.23,2279.076
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,1.69,12047895612.0,12,18535224019,822371224,1.74,1.4,0.281802,20.03183,1886923155.0,18.5703,7155344217.86878,11008221873.64427,100000000000.0,2.99,-43.53567,2025-02-26T16:41:03.732Z,0.615725,173.97547,2025-02-20T18:06:42.957Z,,2025-03-12T21:20:20.717Z,1.69,2.028
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,83089.0,10718838090.0,13,10718838090,290504364,83821.0,80603.0,205.7,0.24817000000000003,31673550.0,0.29637,129015.15657878,129015.15657878,129015.15657878,108368.0,-23.32177,2025-01-20T07:16:27.137Z,3139.17,2547.02049,2019-04-02T00:00:00.000Z,,2025-03-12T21:20:18.000Z,83089.0,99706.8
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,83218.0,9913367492.0,14,9913367492,3640541,83890.0,80728.0,245.89,0.29635,6172355277.0,164.99158,119111.69354982,119111.69354982,,114576.0,-27.4654,2025-02-04T01:47:44.052Z,52119.0,59.45515,2024-09-06T21:01:52.094Z,,2025-03-12T21:20:18.897Z,83218.0,99861.59999999999
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.72,8982667162.0,15,9578514480,3914047,9.93,9.61,-0.1738263708969,-1.75643,-159049763.4983158,-1.73982,923951052.9,985239504.0,,10.14,-4.1416,2025-03-10T09:26:43.294Z,0.799859,1114.63303,2019-12-24T15:14:35.376Z,,2025-03-12T21:20:20.121Z,9.72,11.664
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.47,8593052652.0,16,13466624432,717103025,13.74,12.67,0.04156821,0.30955000000000005,35570255.0,0.41566000000000003,638099970.4505637,1000000000.0,1000000000.0,52.7,-74.55293,2021-05-10T00:13:57.214Z,0.14818299999999998,8949.43514,2017-11-29T00:00:00.000Z,,2025-03-12T21:20:25.511Z,13.47,16.164
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.19922,8408328700.0,17,9958326053,570160751,0.213726,0.19436799999999999,-0.00027741438841700003,-0.13906000000000002,-4601808.393877983,-0.054700000000000006,42217580818.57688,50000000000.0,50000000000.0,0.569229,-65.10905,2021-09-15T10:40:28.318Z,0.009861110000000001,1914.06733,2020-01-02T17:30:24.852Z,,2025-03-12T21:20:18.637Z,0.19922,0.239064
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999474,8115377103.0,18,8115377103,30129558,1.002,0.998257,-0.00021316594246100003,-0.021320000000000002,-85182263.44903183,-1.03874,8120368369.967584,8120368369.967584,,1.057,-5.44102,2024-10-29T05:40:51.197Z,0.9482649999999999,5.43392,2024-10-03T13:19:28.826Z,,2025-03-12T21:20:26.339Z,0.999474,1.1993688
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.257816,7919653313.0,19,12885314588,247538784,0.262067,0.248224,-0.00044231919730000006,-0.17127,-5309904.440472603,-0.067,30732413595.02672,50001786894.44301,50001786894.44301,0.875563,-70.55564,2018-01-03T00:00:00.000Z,0.00047612,54046.45934,2015-03-05T00:00:00.000Z,,2025-03-12T21:20:24.661Z,0.257816,0.30937919999999997
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2270.66,7879066617.0,20,7879066617,43632155,2327.87,2197.21,-52.29015273497771,-2.25103,-208966274.87882042,-2.58365,3492053.33146123,3492053.33146123,,7256.02,-68.87364,2022-05-13T15:09:54.509Z,558.54,304.36405,2022-05-13T01:36:45.053Z,,2025-03-12T21:20:17.456Z,2270.66,2724.792
